MsSubClass,Zone,Neighborhood,Area,Room,Built-Age,Sale-Rent,Document,Floor,Elevator,Warehouse,Parking,Reconstruction,Balcony,TotalPrice
1,5,8,65,1,22,0,,0,0,1,1,0,0,5700000000
1,5,8,63,1,17,0,,6,1,1,1,1,0,6700000000
1,5,92,85,2,12,0,,1,1,1,1,0,1,8100000000
1,5,100,60,2,19,0,,2,0,1,1,1,0,5800000000
1,5,8,55,1,15,0,,0,0,1,1,0,0,5600000000
1,6,23,150,3,1,0,0,2,0,1,1,0,1,22500000000
1,6,23,55,1,7,0,,3,0,1,1,0,1,7700000000
1,6,23,113,2,0,0,0,1,0,1,1,0,1,14690000000
1,6,25,157,3,0,0,,2,0,1,1,0,1,15100000000
1,6,26,110,2,7,1,,1,0,1,1,0,1,1350000000
1,6,23,145,3,13,1,,4,0,1,1,1,1,1650000000
1,6,23,90,2,2,1,,3,0,1,1,0,1,1500000000
1,6,26,85,2,10,1,,4,0,1,1,0,1,1350000000
1,6,26,80,2,20,1,,3,0,1,1,1,1,750000000
1,7,27,62,1,8,0,0,2,0,1,1,0,0,5900000000
1,7,27,150,3,0,0,0,5,0,1,1,0,1,24500000000
1,7,27,119,2,0,0,0,4,0,1,1,0,1,13900000000
1,7,28,75,2,3,0,0,1,0,1,1,0,1,6200000000
1,7,27,92,2,5,1,,1,0,1,0,1,1,1200000000
1,7,29,40,1,1,1,,1,0,0,0,1,1,600000000
1,7,29,105,2,1,1,,3,0,1,1,0,1,1450000000
1,7,27,90,2,0,1,,2,0,1,1,0,0,1450000000
1,7,29,95,2,4,1,,1,0,1,0,0,1,1180000000
1,8,30,132,3,20,0,0,3,0,1,1,0,1,8300000000
1,8,30,147,3,0,0,0,4,0,1,1,0,1,13965000000
1,8,30,90,2,20,0,,3,0,1,1,0,0,7800000000
1,8,31,59,1,20,0,0,3,0,0,0,0,0,3350000000
1,8,32,65,1,7,1,,-1,1,1,1,0,0,450000000
1,8,30,100,2,14,1,,3,0,1,1,1,1,1000000000
1,8,33,90,2,17,1,,3,0,1,1,0,1,700000000
1,8,30,185,3,15,1,,5,0,1,1,1,1,2200000000
1,8,30,135,3,2,1,,3,0,1,1,0,1,1700000000
1,9,34,89,2,4,0,,2,0,1,1,0,1,8100000000
1,9,35,110,2,4,0,0,5,0,1,1,1,1,9700000000
1,9,35,102,2,1,0,0,1,0,1,1,0,1,8300000000
1,9,35,70,1,20,0,0,0,0,1,0,1,1,4050000000
1,9,35,57,1,8,0,0,2,0,1,0,1,1,3600000000
1,9,35,80,2,6,1,,5,0,1,1,0,0,720000000
1,9,35,55,1,12,1,,4,0,1,0,1,1,380000000
1,9,35,70,1,0,1,,2,0,0,1,0,1,570000000
1,9,34,80,2,4,1,,4,0,1,0,0,1,700000000
1,9,36,133,3,0,1,,3,0,1,1,0,1,1200000000
1,9,35,60,2,1,0,3,1,1,1,1,,1,3500000000
1,9,35,70,2,1,0,3,2,1,1,1,0,1,4800000000
1,9,35,68,2,1,0,3,3,1,1,1,0,1,4400000000
1,9,35,56,1,7,0,3,2,1,1,1,0,1,3600000000
1,9,35,65,1,1,0,3,4,1,1,1,0,0,4200000000
1,9,35,68,2,1,0,3,1,1,1,1,0,1,4900000000
1,9,35,80,1,3,0,3,,1,1,1,0,0,4700000000
1,10,37,51,1,20,0,0,2,0,1,0,1,1,2650000000
1,10,38,113,2,0,0,0,2,0,1,1,0,1,5350000000
1,10,38,62,2,2,0,0,4,0,1,1,0,1,3500000000
1,10,38,72,2,8,0,0,3,0,1,1,1,1,3750000000
1,10,39,58,2,20,0,0,2,0,0,1,1,1,3380000000
1,10,39,53,1,9,1,,2,0,1,0,1,1,400000000
1,10,39,78,2,32,1,,1,0,0,0,1,0,400000000
1,10,40,108,2,0,1,,4,0,1,1,0,1,900000000
1,10,41,84,2,5,1,,3,0,1,1,0,1,780000000
1,10,38,150,3,0,1,,3,0,1,1,0,1,1100000000
1,10,41,100,2,7,0,3,2,1,1,1,0,1,550000000
1,10,41,100,2,7,0,3,2,1,1,1,0,1,550000000
1,10,41,49,1,7,0,3,3,1,1,1,0,1,3100000000
1,10,41,100,2,1,0,3,2,1,1,1,0,1,5500000000
1,10,40,65,1,12,0,3,2,1,1,1,0,0,3100000000
1,10,40,75,2,3,0,3,2,1,1,1,0,0,4300000000
1,10,41,65,2,3,0,3,2,1,1,1,0,0,4200000000
1,10,41,45,1,15,0,3,,0,1,0,0,0,1950000000
1,10,41,70,2,7,0,3,1,1,1,1,0,1,4700000000
1,10,41,73,2,7,0,3,4,1,1,1,0,1,5000000000
1,10,41,55,1,4,0,,,1,1,1,0,1,3000000000
1,10,40,75,2,1,0,3,3,1,1,1,0,1,5100000000
1,10,41,43,1,17,0,,3,0,1,0,0,0,2290000000
1,10,41,35,1,28,0,,0,0,1,0,1,0,2100000000
1,10,41,43,2,27,0,,0,0,0,0,1,0,2100000000
1,10,37,40,1,18,0,3,2,0,1,1,0,0,2700000000
1,10,37,41,1,20,0,,2,0,0,0,0,0,2100000000
1,10,37,52,1,7,0,0,1,1,1,0,0,1,2720000000
1,10,80,75,2,20,0,,0,0,1,1,0,0,3700000000
1,10,41,40,1,23,0,,0,1,1,1,0,0,2350000000
1,10,41,46,1,14,0,3,2,0,1,1,0,1,2300000000
1,10,39,48,1,18,0,,5,1,1,0,0,1,2480000000
1,10,41,39,2,19,0,,0,0,1,0,1,0,2100000000
1,10,41,60,1,1,0,,1,1,0,1,0,0,3400000000
1,11,42,68,2,17,0,,3,0,1,0,0,0,3600000000
1,11,42,97,2,0,0,,1,0,0,1,0,1,6300000000
1,11,42,63,1,10,0,,1,0,0,0,0,1,5000000000
1,11,43,70,2,12,0,,2,0,1,0,0,0,3000000000
1,11,43,65,2,30,0,,4,0,1,1,0,1,2380000000
1,11,42,110,1,10,1,,4,0,2,1,0,1,800000000
1,11,42,140,2,21,1,,2,0,1,1,1,1,800000000
1,11,44,50,1,7,1,,1,0,1,1,1,0,450000000
1,11,42,72,1,10,1,,3,0,1,0,1,0,350000000
1,11,44,83,2,6,1,,2,0,1,1,0,0,780000000
1,11,78,37,1,17,0,,3,0,1,1,0,1,3070000000
1,12,45,85,2,8,0,0,3,0,1,1,0,1,3200000000
1,12,46,150,3,3,0,0,3,0,1,1,0,1,12500000000
1,12,46,75,2,18,0,0,2,0,0,0,1,0,5000000000
1,12,47,53,1,22,0,0,1,0,0,0,1,0,4000000000
1,12,47,90,2,4,0,0,1,0,1,1,0,1,8300000000
1,12,47,137,2,31,1,,1,0,0,1,1,1,1200000000
1,12,48,98,2,32,1,,4,0,0,0,1,0,650000000
1,12,48,90,1,27,1,,0,0,1,0,1,1,850000000
1,12,47,150,3,5,1,,1,0,1,1,0,0,1250000000
1,12,48,50,1,13,1,,2,0,1,0,0,1,180000000
1,12,47,110,2,31,0,0,1,1,1,1,0,1,6000000000
1,12,46,160,3,0,0,0,4,1,0,1,0,1,15000000000
1,12,48,50,1,5,0,0,3,0,1,0,0,0,990000000
1,12,48,100,2,15,0,0,2,1,1,0,0,1,6750000000
1,13,49,77,2,0,0,,6,0,1,0,0,1,4700000000
1,13,49,60,2,0,0,,3,0,0,1,0,1,4500000000
1,13,49,75,2,1,0,,3,0,1,1,0,0,7700000000
1,13,50,82,2,10,0,0,3,0,1,1,1,1,6950000000
1,13,49,122,3,3,0,,6,0,1,1,0,1,7900000000
1,13,49,60,1,10,1,,1,0,1,0,0,1,550000000
1,13,50,70,2,6,1,,4,0,1,1,1,1,750000000
1,13,50,160,3,0,1,,3,0,0,1,0,1,1600000000
1,13,49,75,2,8,1,,3,1,1,1,0,1,750000000
1,13,49,100,2,10,1,,2,1,1,1,1,1,1100000000
1,13,49,57,1,7,0,0,1,1,1,0,0,1,3800000000
1,13,49,62,2,18,0,0,2,9,1,0,1,1,3400000000
1,13,50,80,2,20,0,0,4,0,1,0,1,0,4950000000
1,13,49,57,1,22,0,0,2,0,1,0,0,1,2760000000
1,13,49,35,1,17,0,0,1,0,1,1,0,0,3000000000
1,14,51,87,2,0,0,,5,0,0,1,0,1,3045000000
1,14,51,72,1,6,0,0,5,0,0,1,0,1,2530000000
1,14,52,121,3,1,0,,2,0,1,1,0,0,2200000000
1,14,51,61,1,11,1,,2,0,1,0,0,0,500000000
1,14,53,75,1,14,1,,4,0,0,0,1,1,350000000
1,14,52,95,2,7,1,,5,0,1,1,0,1,850000000
1,14,53,55,1,9,1,,1,0,0,0,0,1,400000000
1,14,52,127,3,7,1,,2,0,1,1,0,0,1500000000
1,14,53,95,2,2,0,,2,1,0,1,0,0,4987500000
1,14,53,45,1,22,0,0,2,0,1,1,1,1,1600000000
1,14,53,45,1,12,0,0,4,1,1,1,1,1,2400000000
1,15,54,85,2,4,0,0,3,0,1,1,0,1,3400000000
1,15,55,112,2,0,0,,5,0,0,1,1,1,5900000000
1,15,56,67,1,4,0,0,1,1,0,1,0,0,2950000000
1,15,55,76,2,3,1,,1,0,0,1,0,1,550000000
1,15,57,90,2,4,1,,3,0,0,1,0,1,700000000
1,15,57,75,1,14,1,,3,0,0,0,0,0,410000000
1,15,57,150,3,2,1,,5,0,1,1,0,1,1200000000
1,15,57,65,2,0,1,,4,0,1,1,0,0,600000000
1,15,51,64,2,18,0,0,0,0,1,1,1,0,3700000000
1,15,57,105,2,0,0,0,3,1,1,1,0,1,6850000000
1,15,57,127,3,2,0,,2,1,0,1,0,0,7250000000
1,15,52,80,2,0,0,,5,1,0,1,0,1,5995000000
1,16,58,99,2,7,0,0,1,0,1,1,0,1,4850000000
1,16,59,80,2,0,0,0,4,1,0,1,0,1,47000000000
1,16,61,160,3,0,0,0,7,0,1,1,0,1,9000000000
1,16,62,40,1,16,1,,2,0,0,0,0,0,310000000
1,16,60,65,1,10,1,,0,0,1,1,1,1,500000000
1,16,60,110,2,3,1,,2,0,0,1,0,0,1100000000
1,16,60,85,2,17,1,,2,0,0,0,1,0,450000000
1,16,76,70,1,14,0,0,1,1,1,1,1,0,3300000000
1,16,76,40,1,13,0,,1,0,1,1,0,0,2400000000
1,16,76,40,1,13,0,,0,0,1,1,0,0,2400000000
1,16,76,40,1,10,0,3,4,0,1,1,0,0,2400000000
1,16,76,40,1,14,0,,4,0,1,0,0,0,1750000000
1,16,60,55,1,8,0,0,5,1,0,0,0,1,3400000000
1,16,60,59,1,5,0,0,5,1,0,0,0,1,3900000000
1,16,58,55,1,20,0,0,3,0,1,0,0,0,1975000000
1,16,62,57,1,5,0,0,5,1,0,1,0,0,3240000000
1,16,58,135,3,0,0,,1,1,1,1,0,0,7500000000
1,17,63,50,1,19,0,0,4,0,1,1,0,1,1850000000
1,17,65,45,1,11,0,,1,0,1,1,0,0,2350000000
1,17,63,100,2,0,0,0,6,0,1,1,0,1,4600000000
1,17,65,85,2,0,1,,1,0,1,1,0,1,600000000
1,17,63,58,2,20,1,,2,0,1,0,1,0,250000000
1,17,63,62,1,14,1,,3,0,1,1,0,1,290000000
1,17,63,112,2,6,1,,1,0,1,1,1,1,650000000
1,17,65,93,2,0,1,,1,0,1,1,0,1,650000000
1,17,79,54,1,6,0,3,1,1,1,0,0,1,2400000000
1,17,65,46,1,7,0,,1,1,1,1,0,0,2600000000
1,17,65,59,1,11,0,0,2,1,1,1,1,1,3080000000
1,17,64,69,1,14,0,0,1,1,1,1,1,1,2800000000
1,17,65,40,1,11,0,,2,0,0,0,0,0,2500000000
1,17,65,58,1,0,0,0,1,1,1,0,0,1,3190000000
1,18,66,70,2,17,0,,1,0,1,0,1,0,6700000000
1,18,66,78,2,20,0,0,4,0,1,1,1,1,6500000000
1,18,68,61,2,19,0,0,3,0,1,0,1,0,2530000000
1,18,66,102,2,4,0,0,4,1,1,1,0,1,10200000000
1,18,68,58,1,12,1,,4,0,1,0,0,1,350000000
1,18,68,90,2,17,1,,2,0,0,0,0,1,600000000
1,18,63,62,1,14,1,,3,0,1,1,0,1,290000000
1,18,63,112,2,6,1,,1,0,1,1,0,1,650000000
1,18,68,64,2,20,1,,1,0,0,0,0,0,300000000
1,18,93,57,1,17,0,3,2,1,0,1,0,0,5350000000
1,18,67,90,2,6,0,0,4,1,0,1,0,1,2520000000
1,18,63,50,1,19,0,0,4,1,1,1,1,0,2200000000
1,18,67,112,2,2,0,0,1,1,0,1,0,0,3024000000
1,18,68,147,3,0,0,,4,1,1,1,0,0,9300000000
1,18,68,52,1,5,0,0,1,1,1,0,0,0,2900000000
1,19,69,50,1,3,0,0,1,0,1,0,0,0,1180000000
1,19,70,100,2,0,0,0,3,0,1,1,0,1,6200000000
1,19,71,73,2,1,0,0,1,0,0,1,0,1,3066000000
1,19,70,108,1,15,1,,0,0,1,0,1,0,500000000
1,19,71,93,2,8,1,,1,0,1,0,0,0,500000000
1,19,71,55,1,0,1,,1,0,0,0,0,0,350000000
1,19,71,60,1,10,1,,1,0,0,0,0,0,320000000
1,19,70,95,2,7,1,,1,0,1,0,0,0,300000000
1,19,69,65,1,14,0,,2,0,1,0,0,0,1450000000
1,19,45,3,75,12,0,0,3,0,1,1,1,1,3500000000
1,19,69,50,1,3,0,,1,0,1,0,0,0,1180000000
1,19,45,67,1,0,0,,1,1,1,1,0,1,1330000000
1,19,69,85,1,10,0,,0,0,1,0,0,0,2450000000
1,19,45,75,1,0,0,2,1,0,0,0,0,1,1400000000
1,20,72,105,2,0,0,0,2,0,0,1,0,1,5750000000
1,20,73,88,2,3,0,0,2,0,1,1,0,0,2400888800
1,20,74,60,1,20,0,1,1,0,1,1,0,1,2700000000
1,20,73,90,2,10,1,,2,1,0,1,0,1,600000000
1,20,74,81,2,1,1,,4,0,1,1,0,1,800000000
1,20,75,90,2,1,1,,2,0,1,1,0,1,800000000
1,20,74,150,3,0,1,,1,0,1,1,0,1,1400000000
1,20,75,51,1,17,1,,11,0,0,0,0,0,200000000
1,20,103,97,2,0,0,,5,1,1,1,0,0,6800000000
1,20,73,77,2,4,0,1,6,1,1,1,0,1,4230000000
1,20,74,104,2,0,0,,1,1,1,1,0,1,6540000000
1,20,104,58,1,32,0,,4,0,1,0,1,1,1900000000
1,20,72,88,2,7,0,0,4,1,1,1,0,1,4250000000
1,20,74,86,2,29,0,0,3,0,0,1,1,1,4450000000
1,20,105,92,2,6,0,2,8,1,1,1,0,1,4800000000
1,20,105,90,2,0,0,,2,1,1,1,0,1,4950000000
1,20,104,92,2,24,0,0,0,0,1,1,1,1,4000000000
1,20,103,85,2,17,0,0,3,1,,1,1,1,4250000000
1,20,103,65,1,14,0,0,3,1,0,1,0,0,3120200000
1,20,103,139,3,5,0,0,4,1,0,1,0,1,9600000000
