MsSubClass,Zone,Neighborhood,Area,Room,Built-Age,Sale-Rent,Document,Floor,Elevator,Warehouse,Parking,Reconstruction,Balcony,TotalPrice
1,6,23,145,3,13,1,-1.0,4.0,0,1.0,1,1.0,1,1650000000.0
1,17,63,62,1,14,1,-1.0,3.0,0,1.0,1,0.0,1,290000000.0
1,5,99,88,2,15,0,-1.0,3.0,0,1.0,1,0.0,1,6700000000.0
1,2,8,90,2,18,0,-1.0,1.0,0,1.0,1,0.0,0,7600000000.0
1,5,8,145,3,1,1,3.0,4.0,1,1.0,1,0.0,1,2350000000.0
1,5,8,75,2,14,0,-1.0,2.0,1,1.0,1,0.0,0,7450000000.0
1,1,3,75,1,12,0,0.0,2.0,1,1.0,1,1.0,0,13500000000.0
1,2,11,98,2,0,1,-1.0,4.0,0,1.0,1,0.0,1,1550000000.0
1,1,7,150,3,5,1,-1.0,4.0,4,1.0,1,0.0,1,1400000000.0
1,5,8,55,1,15,0,-1.0,0.0,0,1.0,1,0.0,0,5600000000.0
1,1,86,100,2,5,1,3.0,5.0,1,1.0,1,0.0,1,300000000.0
1,19,70,100,2,0,0,0.0,3.0,0,1.0,1,0.0,1,6200000000.0
1,16,60,85,2,17,1,-1.0,2.0,0,0.0,0,1.0,0,450000000.0
1,10,40,75,2,3,0,3.0,2.0,1,1.0,1,0.0,0,4300000000.0
1,14,53,75,1,14,1,-1.0,4.0,0,0.0,0,1.0,1,350000000.0
1,17,65,59,1,11,0,0.0,2.0,1,1.0,1,1.0,1,3080000000.0
1,11,42,97,2,0,0,-1.0,1.0,0,0.0,1,0.0,1,6300000000.0
1,10,39,78,2,32,1,-1.0,1.0,0,0.0,0,1.0,0,400000000.0
1,10,41,100,2,7,0,3.0,2.0,1,1.0,1,0.0,1,550000000.0
1,15,57,105,2,0,0,0.0,3.0,1,1.0,1,0.0,1,6850000000.0
1,20,72,105,2,0,0,0.0,2.0,0,0.0,1,0.0,1,5750000000.0
1,12,47,137,2,31,1,-1.0,1.0,0,0.0,1,1.0,1,1200000000.0
1,20,74,104,2,0,0,-1.0,1.0,1,1.0,1,0.0,1,6540000000.0
1,19,71,55,1,0,1,-1.0,1.0,0,0.0,0,0.0,0,350000000.0
1,16,60,110,2,3,1,-1.0,2.0,0,0.0,1,0.0,0,1100000000.0
